Epi_week,Category,OROV_INC
2017_11,National,0
2017_11,Rural,0
2017_11,Urban,0
2017_12,National,0
2017_12,Rural,0
2017_12,Urban,0
2017_13,National,0
2017_13,Rural,0
2017_13,Urban,0
2017_14,National,0
2017_14,Rural,0
2017_14,Urban,0
2017_15,National,0
2017_15,Rural,0
2017_15,Urban,0
2017_16,National,0.000492415
2017_16,Rural,0
2017_16,Urban,0.000563354
2017_17,National,0
2017_17,Rural,0
2017_17,Urban,0
2017_18,National,0
2017_18,Rural,0
2017_18,Urban,0
2017_19,National,0
2017_19,Rural,0
2017_19,Urban,0
2017_20,National,0
2017_20,Rural,0
2017_20,Urban,0
2017_21,National,0
2017_21,Rural,0
2017_21,Urban,0
2017_22,National,0
2017_22,Rural,0
2017_22,Urban,0
2017_23,National,0
2017_23,Rural,0
2017_23,Urban,0
2017_24,National,0
2017_24,Rural,0
2017_24,Urban,0
2017_25,National,0.000492415
2017_25,Rural,0
2017_25,Urban,0.000563354
2017_26,National,0
2017_26,Rural,0
2017_26,Urban,0
2017_27,National,0
2017_27,Rural,0
2017_27,Urban,0
2017_28,National,0.000492415
2017_28,Rural,0
2017_28,Urban,0.000563354
2017_29,National,0
2017_29,Rural,0
2017_29,Urban,0
2017_30,National,0
2017_30,Rural,0
2017_30,Urban,0
2017_31,National,0
2017_31,Rural,0
2017_31,Urban,0
2017_32,National,0
2017_32,Rural,0
2017_32,Urban,0
2017_33,National,0
2017_33,Rural,0
2017_33,Urban,0
2017_34,National,0
2017_34,Rural,0
2017_34,Urban,0
2017_35,National,0.000492415
2017_35,Rural,0
2017_35,Urban,0.000563354
2017_36,National,0
2017_36,Rural,0
2017_36,Urban,0
2017_37,National,0
2017_37,Rural,0
2017_37,Urban,0
2017_38,National,0
2017_38,Rural,0
2017_38,Urban,0
2017_39,National,0
2017_39,Rural,0
2017_39,Urban,0
2017_40,National,0
2017_40,Rural,0
2017_40,Urban,0
2017_41,National,0
2017_41,Rural,0
2017_41,Urban,0
2017_42,National,0
2017_42,Rural,0
2017_42,Urban,0
2017_43,National,0
2017_43,Rural,0
2017_43,Urban,0
2017_44,National,0
2017_44,Rural,0
2017_44,Urban,0
2017_45,National,0
2017_45,Rural,0
2017_45,Urban,0
2017_46,National,0
2017_46,Rural,0
2017_46,Urban,0
2017_47,National,0
2017_47,Rural,0
2017_47,Urban,0
2017_48,National,0
2017_48,Rural,0
2017_48,Urban,0
2017_49,National,0
2017_49,Rural,0
2017_49,Urban,0
2017_50,National,0.00098483
2017_50,Rural,0
2017_50,Urban,0.001126707
2017_51,National,0
2017_51,Rural,0
2017_51,Urban,0
2017_52,National,0
2017_52,Rural,0
2017_52,Urban,0
2018_01,National,0
2018_01,Rural,0
2018_01,Urban,0
2018_02,National,0.000492415
2018_02,Rural,0
2018_02,Urban,0.000563354
2018_03,National,0.000492415
2018_03,Rural,0.003910475
2018_03,Urban,0
2018_04,National,0.004431735
2018_04,Rural,0.035194278
2018_04,Urban,0
2018_05,National,0.005908979
2018_05,Rural,0.031283802
2018_05,Urban,0.002253414
2018_06,National,0.010833129
2018_06,Rural,0.058657129
2018_06,Urban,0.003943475
2018_07,National,0.008371054
