Epi_week,Category,OROV_cases
2018_20,Urban,6
2018_21,Rural,1
2018_21,Urban,3
2018_22,Rural,1
2018_22,Urban,5
2018_23,Rural,2
2018_23,Urban,4
2018_24,Rural,3
2018_24,Urban,7
2018_25,Rural,2
2018_25,Urban,3
2018_26,Rural,0
2018_26,Urban,0
2018_27,Rural,0
2018_27,Urban,2
2018_28,Rural,0
2018_28,Urban,2
2018_29,Rural,0
2018_29,Urban,2
2018_30,Rural,0
2018_30,Urban,1
2018_31,Rural,0
2018_31,Urban,0
2018_32,Rural,3
2018_32,Urban,1
2018_33,Rural,0
2018_33,Urban,1
2018_34,Rural,1
2018_34,Urban,2
2018_35,Rural,1
2018_35,Urban,1
2018_36,Rural,0
2018_36,Urban,1
2018_37,Rural,1
2018_37,Urban,0
2018_38,Rural,0
2018_38,Urban,1
2018_39,Rural,2
2018_39,Urban,1
2018_40,Rural,2
2018_40,Urban,3
2018_41,Rural,0
2018_41,Urban,0
2018_42,Rural,0
2018_42,Urban,4
2018_43,Rural,1
2018_43,Urban,3
2018_44,Rural,0
2018_44,Urban,2
2018_45,Rural,0
2018_45,Urban,2
2018_46,Rural,0
2018_46,Urban,1
2018_47,Rural,0
2018_47,Urban,0
2018_48,Rural,0
2018_48,Urban,1
2018_49,Rural,0
2018_49,Urban,2
2018_50,Rural,0
2018_50,Urban,1
2018_51,Rural,0
2018_51,Urban,1
2018_52,Rural,0
2018_52,Urban,0
2019_01,Rural,2
2019_01,Urban,2
2019_02,Rural,3
2019_02,Urban,1
2019_03,Rural,0
2019_03,Urban,2
2019_04,Rural,2
2019_04,Urban,1
2019_05,Rural,0
2019_05,Urban,3
2019_06,Rural,1
2019_06,Urban,5
2019_07,Rural,0
2019_07,Urban,0
2019_08,Rural,0
2019_08,Urban,4
2019_09,Rural,0
2019_09,Urban,0
2019_10,Rural,0
2019_10,Urban,0
2019_11,Rural,2
2019_11,Urban,0
2019_12,Rural,0
2019_12,Urban,6
2019_13,Rural,1
2019_13,Urban,2
2019_14,Rural,0
2019_14,Urban,3
2019_15,Rural,0
2019_15,Urban,2
2019_16,Rural,0
2019_16,Urban,2
2019_17,Rural,1
2019_17,Urban,3
2019_18,Rural,0
2019_18,Urban,2
2019_19,Rural,0
2019_19,Urban,7
2019_20,Rural,0
2019_20,Urban,2
2019_21,Rural,0
2019_21,Urban,1
2019_22,Rural,0
2019_22,Urban,1
2019_23,Rural,0
2019_23,Urban,0
2019_24,Rural,0
2019_24,Urban,0
2019_25,Rural,0
2019_25,Urban,1
2019_26,Rural,0
2019_26,Urban,0
2019_27,Rural,0
2019_27,Urban,5
2019_28,Rural,0
2019_28,Urban,0
2019_29,Rural,0
2019_29,Urban,0
2019_30,Rural,0
2019_30,Urban,0
2019_31,Rural,0
2019_31,Urban,1
2019_32,Rural,0
2019_32,Urban,1
2019_33,Rural,1
2019_33,Urban,0
2019_34,Rural,0
2019_34,Urban,0
2019_35,Rural,0
2019_35,Urban,0
2019_36,Rural,0
2019_36,Urban,0
2019_37,Rural,0
2019_37,Urban,1
2019_38,Rural,0
2019_38,Urban,0
2019_39,Rural,0
2019_39,Urban,5
2019_40,Rural,1
2019_40,Urban,1
2019_41,Rural,0
2019_41,Urban,0
2019_42,Rural,0
2019_42,Urban,0
2019_43,Rural,1
2019_43,Urban,0
2019_44,Rural,0
2019_44,Urban,1
2019_45,Rural,0
2019_45,Urban,0
2019_46,Rural,1
2019_46,Urban,0
2019_47,Rural,1
2019_47,Urban,0
2019_48,Rural,0
2019_48,Urban,1
2019_49,Rural,1
2019_49,Urban,6
2019_50,Rural,0
2019_50,Urban,8
2019_51,Rural,0
2019_51,Urban,5
2019_52,Rural,0
2019_52,Urban,0
2020_01,Rural,0
2020_01,Urban,3
2020_02,Rural,0
2020_02,Urban,1
2020_03,Rural,0
2020_03,Urban,2
2020_04,Rural,0
2020_04,Urban,3
2020_05,Rural,0
2020_05,Urban,2
2020_06,Rural,2
2020_06,Urban,1
2020_07,Rural,2
2020_07,Urban,0
2020_08,Rural,0
2020_08,Urban,2
2020_09,Rural,0
2020_09,Urban,3
2020_10,Rural,0
2020_10,Urban,0
2020_11,Rural,0
2020_11,Urban,0
2020_12,Rural,0
2020_12,Urban,1
2020_13,Rural,0
2020_13,Urban,0
2020_14,Rural,0
2020_14,Urban,1
2020_15,Rural,0
2020_15,Urban,0
2020_16,Rural,0
2020_16,Urban,0
2020_17,Rural,0
2020_17,Urban,0
2020_18,Rural,0
2020_18,Urban,1
2020_19,Rural,0
2020_19,Urban,0
2020_20,Rural,0
2020_20,Urban,0
2020_21,Rural,0
2020_21,Urban,0
2020_22,Rural,0
2020_22,Urban,0
2020_23,Rural,0
2020_23,Urban,0
2020_24,Rural,0
2020_24,Urban,0
2020_25,Rural,0
2020_25,Urban,0
2020_26,Rural,0
2020_26,Urban,1
2020_27,Rural,0
2020_27,Urban,1
2020_28,Rural,0
2020_28,Urban,1
2020_29,Rural,0
2020_29,Urban,0
2020_30,Rural,0
2020_30,Urban,0
2020_31,Rural,0
2020_31,Urban,1
2020_32,Rural,0
2020_32,Urban,0
2020_33,Rural,0
2020_33,Urban,0
2020_34,Rural,0
2020_34,Urban,1
2020_35,Rural,0
2020_35,Urban,1
2020_36,Rural,0
2020_36,Urban,0
2020_37,Rural,0
2020_37,Urban,1
2020_38,Rural,0
2020_38,Urban,1
2020_39,Rural,0
2020_39,Urban,0
2020_40,Rural,0
2020_40,Urban,1
2020_41,Rural,0
2020_41,Urban,3
2020_42,Rural,0
2020_42,Urban,1
2020_43,Rural,0
2020_43,Urban,0
2020_44,Rural,0
2020_44,Urban,0
2020_45,Rural,0
2020_45,Urban,0
2020_46,Rural,1
2020_46,Urban,0
2020_47,Rural,0
2020_47,Urban,0
2020_48,Rural,0
2020_48,Urban,0
2020_49,Rural,0
2020_49,Urban,0
2020_50,Rural,0
2020_50,Urban,1
2020_51,Rural,0
2020_51,Urban,1
2020_52,Rural,0
2020_52,Urban,0
2020_53,Rural,0
2020_53,Urban,0
2021_01,Rural,0
2021_01,Urban,4
2021_02,Rural,0
2021_02,Urban,0
2021_03,Rural,0
2021_03,Urban,0
2021_04,Rural,0
2021_04,Urban,1
2021_05,Rural,0
2021_05,Urban,28
2021_06,Rural,0
2021_06,Urban,41
2021_07,Rural,0
2021_07,Urban,50
2021_08,Rural,0
2021_08,Urban,57
2021_09,Rural,0
2021_09,Urban,0
2021_10,Rural,0
2021_10,Urban,10
2021_11,Rural,0
2021_11,Urban,23
2021_12,Rural,0
2021_12,Urban,15
2021_13,Rural,0
2021_13,Urban,6
2021_14,Rural,0
2021_14,Urban,0
2021_15,Rural,0
2021_15,Urban,4
2021_16,Rural,1
2021_16,Urban,1
2021_17,Rural,0
2021_17,Urban,0
2021_18,Rural,0
2021_18,Urban,0
2021_19,Rural,0
2021_19,Urban,1
2021_20,Rural,1
2021_20,Urban,2
2021_21,Rural,0
2021_21,Urban,2
2021_22,Rural,0
2021_22,Urban,0
2021_23,Rural,0
2021_23,Urban,0
2021_24,Rural,1
2021_24,Urban,1
2021_25,Rural,0
2021_25,Urban,4
2021_26,Rural,0
2021_26,Urban,3
2021_27,Rural,1
2021_27,Urban,2
2021_28,Rural,0
2021_28,Urban,0
2021_29,Rural,0
2021_29,Urban,1
2021_30,Rural,0
2021_30,Urban,1
2021_31,Rural,0
2021_31,Urban,3
2021_32,Rural,0
2021_32,Urban,0
2021_33,Rural,33
2021_33,Urban,0
2021_34,Rural,1
2021_34,Urban,0
2021_35,Rural,1
2021_35,Urban,2
2021_36,Rural,0
2021_36,Urban,0
2021_37,Rural,4
2021_37,Urban,0
2021_38,Rural,1
2021_38,Urban,0
2021_39,Rural,0
2021_39,Urban,1
2021_40,Rural,0
2021_40,Urban,1
2021_41,Rural,1
2021_41,Urban,0
2021_42,Rural,0
2021_42,Urban,0
2021_43,Rural,0
2021_43,Urban,0
2021_44,Rural,1
2021_44,Urban,1
2021_45,Rural,0
2021_45,Urban,2
2021_46,Rural,1
2021_46,Urban,1
2021_47,Rural,1
2021_47,Urban,2
2021_48,Rural,0
2021_48,Urban,0
2021_49,Rural,0
2021_49,Urban,4
2021_50,Rural,0
2021_50,Urban,40
2021_51,Rural,1
2021_51,Urban,0
2021_52,Rural,1
2021_52,Urban,2
2022_01,Rural,1
2022_01,Urban,5
2022_02,Rural,2
2022_02,Urban,8
2022_03,Rural,0
2022_03,Urban,4
2022_04,Rural,3
2022_04,Urban,1
2022_05,Rural,1
2022_05,Urban,2
2022_06,Rural,0
2022_06,Urban,2
2022_07,Rural,1
2022_07,Urban,1
2022_08,Rural,0
2022_08,Urban,2
2022_09,Rural,0
2022_09,Urban,0
2022_10,Rural,0
2022_10,Urban,3
2022_11,Rural,0
2022_11,Urban,2
2022_12,Rural,2
2022_12,Urban,4
2022_13,Rural,0
2022_13,Urban,2
2022_14,Rural,2
2022_14,Urban,3
2022_15,Rural,0
